Date,Close,MA_7,MA_30,MA_90,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2001-02-03,211.5,210.21428571428572,217.19166666666666,214.31666666666666,7.93,-8.757503,12231.145,0.0,0.0
2001-02-04,211.5,209.85714285714286,216.825,214.3388888888889,5.73,-1.7304169,0.0,0.5,3.0
2001-02-05,213.0,210.46428571428572,216.50833333333333,214.35833333333332,8.25,-5.4887505,15496.882,0.0,0.0
2001-02-06,211.5,210.85714285714286,216.14166666666668,214.3361111111111,12.92,-3.1741667,32662.527,2.2,7.0
2001-02-07,214.0,211.64285714285714,215.85833333333332,214.36666666666667,2.21,-6.045,0.0,2.3000002,6.0
2001-02-08,211.25,212.03571428571428,215.48333333333332,214.36666666666667,2.33,0.355,0.0,6.1,12.0
2001-02-09,210.25,211.85714285714286,215.075,214.35555555555555,6.31,-6.6554165,1984.7057,22.300001,21.0
2001-02-10,210.25,211.67857142857142,214.66666666666666,214.34444444444443,14.67,-18.140833,33552.53,0.0,0.0
2001-02-11,210.25,211.5,214.25833333333333,214.36111111111111,11.96,-17.07,29735.414,0.0,0.0
2001-02-12,209.75,211.03571428571428,213.83333333333334,214.38055555555556,14.07,-5.415833,33853.406,0.0,0.0
2001-02-13,209.75,210.78571428571428,213.40833333333333,214.39444444444445,7.45,-3.2262497,3756.4824,0.0,0.0
2001-02-14,210.25,210.25,213.0,214.41666666666666,5.47,-5.699167,1811.7117,5.5,10.0
2001-02-15,213.5,210.57142857142858,212.83333333333334,214.4638888888889,14.84,-12.4325,33705.273,0.0,0.0
2001-02-16,213.0,210.96428571428572,212.725,214.50555555555556,15.29,-14.336667,34211.992,0.0,0.0
2001-02-17,213.0,211.35714285714286,212.53333333333333,214.54722222222222,15.35,-17.876251,34158.11,0.0,0.0
2001-02-18,213.0,211.75,212.35,214.55555555555554,15.39,-15.580417,35312.332,0.0,0.0
2001-02-19,213.0,212.21428571428572,212.16666666666666,214.5861111111111,14.77,-2.3658335,34059.363,0.0,0.0
2001-02-20,212.5,212.60714285714286,211.96666666666667,214.61111111111111,14.61,-7.403333,30549.453,0.0,0.0
2001-02-21,212.0,212.85714285714286,211.88333333333333,214.63055555555556,9.02,-15.476251,15715.91,0.0,0.0
